timestamp,grid_x,grid_y,cost_value,obstacle_density,object_count,cluster_count,safety_zone,region_type
2025-08-29T12:51:14.571533Z,0,5,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,1,5,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,2,5,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,3,5,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,4,5,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,5,5,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,6,5,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,7,5,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:14.571533Z,8,5,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:14.571533Z,9,5,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:14.571533Z,0,6,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,1,6,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,2,6,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,3,6,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,4,6,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,5,6,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,6,6,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,7,6,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:14.571533Z,8,6,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:14.571533Z,9,6,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:14.571533Z,0,7,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,1,7,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,2,7,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,3,7,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,4,7,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,5,7,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,6,7,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,7,7,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:14.571533Z,8,7,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:14.571533Z,9,7,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:14.571533Z,0,8,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,1,8,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,2,8,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,3,8,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,4,8,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,5,8,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,6,8,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,7,8,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:14.571533Z,8,8,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:14.571533Z,9,8,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:14.571533Z,0,9,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,1,9,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,2,9,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,3,9,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,4,9,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,5,9,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,6,9,0,0.000,0,0,GÜVENLİ,ORTA
